"school_id","school_name","activity_name","alg","level_of_play","event_date","event_time","score","event_name","location","source_activity_url","matchup_link","address"
"522","Helias High School","Softball Fall Season","38","Varsity","9/23","5:00 pm","","Battle","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=522&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=522&alg=38&comp=2681340","7575 St. Charles Road, Columbia, MO 65202"
"522","Helias High School","Tennis Girls","49","Varsity","9/23","4:30 pm","","Smith-Cotton","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=522&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=522&alg=49&comp=2627973","1305 Swifts Hwy, Jefferson City, MO 65109-2595"
"85","Hickman High School","Softball Fall Season","38","Varsity","9/23","4:15 pm","","Holt","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=85&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=85&alg=38&comp=2744132","600 Campus Dr, Wentzville, MO 63385-3433"
"317","Higbee High School","Softball Fall Season","38","Varsity","9/23","5:30 pm","","Brunswick with Keytesville, Northwestern (Mendon)","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=317&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=317&alg=38&comp=2626906","1008 County Rd, Brunswick, MO 65236-1499"
"84","Jefferson City High School","Golf Girls","24","Varsity","9/23","4:00 pm","","Eugene Quad","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=84&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=84&alg=24&tournament=576806","Eugene, MO"
"84","Jefferson City High School","Softball Fall Season","38","Varsity","9/23","5:30 pm","","Rock Bridge","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=84&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=84&alg=38&comp=2780521","4303 S Providence Rd, Columbia, MO 65203-7198"
"84","Jefferson City High School","Tennis Girls","49","Varsity","9/23","4:00 pm","","Rolla","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=84&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=84&alg=49&comp=2757161","609 Union St, Jefferson City, MO 65101-2898"
"84","Jefferson City High School","Volleyball Girls","57","Varsity","9/23","7:00 pm","","Blair Oaks","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=84&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=84&alg=57&comp=2653577","609 Union St, Jefferson City, MO 65101-2898"
"360","Marshall High School","Tennis Girls","49","Varsity","9/23","TBD","","Warrensburg","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=360&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=360&alg=49&comp=2661602","1411 S Ridgeview Dr, Warrensburg, MO 64093-8910"
"360","Marshall High School","Volleyball Girls","57","Varsity","9/23","6:15 pm","","Concordia","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=360&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=360&alg=57&comp=2634685","117 SW 11th St., Concordia, MO 64020"
"128","Mexico High School","Soccer Boys","33","Varsity","9/23-26","","","Warrior Classic Soccer Tournament","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=128&alg=33","https://www.mshsaa.org/MySchool/Tournament.aspx?s=128&alg=33&tournament=553015","Winfield, MO"
"128","Mexico High School","Tennis Girls","49","Varsity","9/23","4:30 pm","","Columbia Independent","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=128&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=128&alg=49&comp=2758454","1801 North Stadium Boulevard, Columbia, MO 65202"
"152","Osage High School","Golf Girls","24","Varsity","9/23","","","Blair Oaks Quad","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=152&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=152&alg=24&tournament=581396","Jefferson City, MO"
"152","Osage High School","Golf Girls","24","Varsity","⤷ 9/23","TBD","","Russellville","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=152&alg=24","https://www.mshsaa.org/MySchool/Matchup.aspx?s=152&alg=24&comp=2750145","636 Hwy 42, Osage Beach, MO 65065-5301"
"152","Osage High School","Golf Girls","24","Varsity","⤷ 9/23","TBD","","Hallsville","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=152&alg=24","https://www.mshsaa.org/MySchool/Matchup.aspx?s=152&alg=24&comp=2750146","636 Hwy 42, Osage Beach, MO 65065-5301"
